registered,occurred,broker,modbus,mac_id,mc_no,process
2026-06-16 16:53:06.711,2026-06-16 16:48:18.905,1.0,1.0,,mc6,demo1
2026-06-16 16:53:07.253,2026-06-16 16:48:18.905,1.0,1.0,,mc5,demo1
2026-06-16 16:53:07.132,2026-06-16 16:48:18.905,0.0,0.0,0,mc4,demo1
2026-06-16 16:53:07.014,2026-06-16 16:48:18.905,0.0,0.0,0,mc3,demo1
2026-06-16 16:53:06.913,2026-06-16 16:48:18.905,1.0,1.0,,mc2,demo1
2026-06-16 16:53:06.814,2026-06-16 16:48:18.905,1.0,1.0,,mc1,demo1
2026-06-16 16:48:05.137,2026-06-16 16:43:18.844,1.0,1.0,,mc1,demo1
2026-06-16 16:48:05.320,2026-06-16 16:43:18.844,1.0,1.0,,mc5,demo1
2026-06-16 16:48:05.254,2026-06-16 16:43:18.844,0.0,0.0,0,mc4,demo1
2026-06-16 16:48:05.212,2026-06-16 16:43:18.844,0.0,0.0,0,mc3,demo1
2026-06-16 16:48:05.165,2026-06-16 16:43:18.844,1.0,1.0,,mc2,demo1
2026-06-16 16:48:05.093,2026-06-16 16:43:18.844,1.0,1.0,,mc6,demo1
2026-06-16 16:43:04.756,2026-06-16 16:38:18.480,1.0,1.0,,mc1,demo1
2026-06-16 16:43:04.943,2026-06-16 16:38:18.480,1.0,1.0,,mc5,demo1
2026-06-16 16:43:04.910,2026-06-16 16:38:18.480,0.0,0.0,0,mc4,demo1
2026-06-16 16:43:04.855,2026-06-16 16:38:18.480,0.0,0.0,0,mc3,demo1
2026-06-16 16:43:04.800,2026-06-16 16:38:18.480,1.0,1.0,,mc2,demo1
2026-06-16 16:43:04.726,2026-06-16 16:38:18.480,1.0,1.0,,mc6,demo1
2026-06-16 16:38:05.091,2026-06-16 16:33:18.854,1.0,1.0,,mc1,demo1
2026-06-16 16:38:05.221,2026-06-16 16:33:18.854,1.0,1.0,,mc5,demo1
2026-06-16 16:38:05.190,2026-06-16 16:33:18.854,0.0,0.0,0,mc4,demo1
2026-06-16 16:38:05.165,2026-06-16 16:33:18.854,0.0,0.0,0,mc3,demo1
2026-06-16 16:38:05.129,2026-06-16 16:33:18.854,1.0,1.0,,mc2,demo1
2026-06-16 16:38:05.045,2026-06-16 16:33:18.854,1.0,1.0,,mc6,demo1
2026-06-16 16:33:04.966,2026-06-16 16:28:18.302,1.0,1.0,,mc1,demo1
2026-06-16 16:33:05.146,2026-06-16 16:28:18.302,1.0,1.0,,mc5,demo1
2026-06-16 16:33:05.090,2026-06-16 16:28:18.302,0.0,0.0,0,mc4,demo1
2026-06-16 16:33:05.053,2026-06-16 16:28:18.302,0.0,0.0,0,mc3,demo1
2026-06-16 16:33:05.008,2026-06-16 16:28:18.302,1.0,1.0,,mc2,demo1
2026-06-16 16:33:04.936,2026-06-16 16:28:18.302,1.0,1.0,,mc6,demo1
2026-06-16 16:28:04.018,2026-06-16 16:23:18.514,1.0,1.0,,mc1,demo1
2026-06-16 16:28:04.304,2026-06-16 16:23:18.514,1.0,1.0,,mc5,demo1
2026-06-16 16:28:04.223,2026-06-16 16:23:18.514,0.0,0.0,0,mc4,demo1
2026-06-16 16:28:04.092,2026-06-16 16:23:18.514,0.0,0.0,0,mc3,demo1
2026-06-16 16:28:04.055,2026-06-16 16:23:18.514,1.0,1.0,,mc2,demo1
2026-06-16 16:28:03.992,2026-06-16 16:23:18.514,1.0,1.0,,mc6,demo1
2026-06-16 16:23:07.218,2026-06-16 16:18:19.268,1.0,1.0,,mc6,demo1
2026-06-16 16:23:07.933,2026-06-16 16:18:19.268,1.0,1.0,,mc5,demo1
2026-06-16 16:23:07.563,2026-06-16 16:18:19.268,0.0,0.0,0,mc4,demo1
2026-06-16 16:23:07.372,2026-06-16 16:18:19.268,0.0,0.0,0,mc3,demo1
2026-06-16 16:23:07.316,2026-06-16 16:18:19.268,1.0,1.0,,mc2,demo1
2026-06-16 16:23:07.268,2026-06-16 16:18:19.268,1.0,1.0,,mc1,demo1
2026-06-16 16:18:04.565,2026-06-16 16:13:19.014,1.0,1.0,,mc6,demo1
2026-06-16 16:18:04.816,2026-06-16 16:13:19.014,1.0,1.0,,mc5,demo1
2026-06-16 16:18:04.753,2026-06-16 16:13:19.014,0.0,0.0,0,mc4,demo1
2026-06-16 16:18:04.709,2026-06-16 16:13:19.014,0.0,0.0,0,mc3,demo1
2026-06-16 16:18:04.672,2026-06-16 16:13:19.014,1.0,1.0,,mc2,demo1
2026-06-16 16:18:04.648,2026-06-16 16:13:19.014,1.0,1.0,,mc1,demo1
2026-06-16 16:13:05.288,2026-06-16 16:08:19.147,1.0,1.0,,mc1,demo1
2026-06-16 16:13:05.678,2026-06-16 16:08:19.147,1.0,1.0,,mc5,demo1
2026-06-16 16:13:05.636,2026-06-16 16:08:19.147,0.0,0.0,0,mc4,demo1
2026-06-16 16:13:05.601,2026-06-16 16:08:19.147,0.0,0.0,0,mc3,demo1
2026-06-16 16:13:05.474,2026-06-16 16:08:19.147,1.0,1.0,,mc2,demo1
2026-06-16 16:13:04.791,2026-06-16 16:08:19.147,1.0,1.0,,mc6,demo1
2026-06-16 16:08:04.720,2026-06-16 16:03:18.304,1.0,1.0,,mc1,demo1
2026-06-16 16:08:04.887,2026-06-16 16:03:18.304,1.0,1.0,,mc5,demo1
2026-06-16 16:08:04.856,2026-06-16 16:03:18.304,0.0,0.0,0,mc4,demo1
2026-06-16 16:08:04.803,2026-06-16 16:03:18.304,0.0,0.0,0,mc3,demo1
2026-06-16 16:08:04.779,2026-06-16 16:03:18.304,1.0,1.0,,mc2,demo1
2026-06-16 16:08:04.686,2026-06-16 16:03:18.304,1.0,1.0,,mc6,demo1
2026-06-16 16:03:04.453,2026-06-16 15:58:18.477,0.0,0.0,0,mc3,demo1
2026-06-16 16:03:04.511,2026-06-16 15:58:18.477,1.0,1.0,,mc5,demo1
2026-06-16 16:03:04.470,2026-06-16 15:58:18.477,0.0,0.0,0,mc4,demo1
2026-06-16 16:03:04.428,2026-06-16 15:58:18.477,1.0,1.0,,mc2,demo1
2026-06-16 16:03:04.408,2026-06-16 15:58:18.477,1.0,1.0,,mc1,demo1
2026-06-16 16:03:04.375,2026-06-16 15:58:18.477,1.0,1.0,,mc6,demo1
2026-06-16 15:58:05.374,2026-06-16 15:53:18.251,1.0,1.0,,mc6,demo1
2026-06-16 15:58:05.602,2026-06-16 15:53:18.251,1.0,1.0,,mc5,demo1
2026-06-16 15:58:05.556,2026-06-16 15:53:18.251,0.0,0.0,0,mc4,demo1
2026-06-16 15:58:05.496,2026-06-16 15:53:18.251,0.0,0.0,0,mc3,demo1
2026-06-16 15:58:05.435,2026-06-16 15:53:18.251,1.0,1.0,,mc2,demo1
2026-06-16 15:58:05.403,2026-06-16 15:53:18.251,1.0,1.0,,mc1,demo1
2026-06-16 15:53:05.184,2026-06-16 15:48:18.927,1.0,1.0,,mc1,demo1
2026-06-16 15:53:05.318,2026-06-16 15:48:18.927,1.0,1.0,,mc5,demo1
2026-06-16 15:53:05.275,2026-06-16 15:48:18.927,0.0,0.0,0,mc4,demo1
2026-06-16 15:53:05.241,2026-06-16 15:48:18.927,0.0,0.0,0,mc3,demo1
2026-06-16 15:53:05.217,2026-06-16 15:48:18.927,1.0,1.0,,mc2,demo1
2026-06-16 15:53:05.143,2026-06-16 15:48:18.927,1.0,1.0,,mc6,demo1
2026-06-16 15:48:05.809,2026-06-16 15:43:19.417,1.0,1.0,,mc2,demo1
2026-06-16 15:48:05.998,2026-06-16 15:43:19.417,1.0,1.0,,mc5,demo1
2026-06-16 15:48:05.929,2026-06-16 15:43:19.417,0.0,0.0,0,mc4,demo1
2026-06-16 15:48:05.627,2026-06-16 15:43:19.417,1.0,1.0,,mc6,demo1
2026-06-16 15:48:05.857,2026-06-16 15:43:19.417,0.0,0.0,0,mc3,demo1
2026-06-16 15:48:05.756,2026-06-16 15:43:19.417,1.0,1.0,,mc1,demo1
2026-06-16 15:43:04.451,2026-06-16 15:38:18.749,1.0,1.0,,mc6,demo1
